"account_id","message_id","client_ref","direction","from","to","country","country_name","provider","provider_error_code","network","network_name","session_type","session_id","date_received","date_finalized","latency","status","error_code","currency","estimated_price","total_price","workflow_id","workflow_items_number","workflow_items_total","id"
"76ea2717","d997e912-a722-4f31-90a8-0cba069dd5f0","conversationalconnect_livechat","outbound","46769436527","46760061594","SE","Sweden","whatsapp","","","","marketing","e762fde9e356b16c4d6e088fd3c33bb9","2025-10-30T13:41:01+00:00","2025-10-30T13:41:05+00:00","3914","delivered","","EUR","0.0500","0.0665","","","","d997e912-a722-4f31-90a8-0cba069dd5f0"
"76ea2717","a123e456-b789-4c31-90a8-0cba069dd5f1","conversationalconnect_livechat","outbound","46769436527","46760061595","SE","Sweden","whatsapp","","","","marketing","e762fde9e356b16c4d6e088fd3c33bb9","2025-10-30T14:15:01+00:00","2025-10-30T14:15:04+00:00","3000","delivered","","EUR","0.0500","0.0665","","","","a123e456-b789-4c31-90a8-0cba069dd5f1"
"76ea2717","b234f567-c890-5d42-91b9-1dcb170ee6g2","conversationalconnect_support","outbound","46769436527","46760061596","SE","Sweden","whatsapp","","","","utility","f873gfe0f467c27d5e7f199ge4d44cc0","2025-10-30T15:20:01+00:00","2025-10-30T15:20:03+00:00","2000","delivered","","EUR","0.0300","0.0400","","","","b234f567-c890-5d42-91b9-1dcb170ee6g2"
"76ea2717","c345g678-d901-6e53-02c0-2edc281ff7h3","conversationalconnect_support","outbound","46769436527","46760061597","SE","Sweden","whatsapp","","","","utility","f873gfe0f467c27d5e7f199ge4d44cc0","2025-10-30T16:30:01+00:00","2025-10-30T16:30:05+00:00","4000","submitted","","EUR","0.0300","0.0400","","","","c345g678-d901-6e53-02c0-2edc281ff7h3"
"76ea2717","d456h789-e012-7f64-13d1-3fed392gg8i4","conversationalconnect_livechat","outbound","46769436527","46760061598","DE","Germany","whatsapp","","","","marketing","g984hgf1g578d38e6f8g200hf5e55dd1","2025-10-31T09:00:01+00:00","2025-10-31T09:00:03+00:00","2500","delivered","","EUR","0.0500","0.0665","","","","d456h789-e012-7f64-13d1-3fed392gg8i4"
"76ea2717","e567i890-f123-8g75-24e2-4gfe403hh9j5","conversationalconnect_livechat","outbound","46769436527","46760061599","DE","Germany","whatsapp","","","","marketing","g984hgf1g578d38e6f8g200hf5e55dd1","2025-10-31T10:15:01+00:00","2025-10-31T10:15:06+00:00","5000","rejected","","EUR","0","0","","","","e567i890-f123-8g75-24e2-4gfe403hh9j5"
"76ea2717","f678j901-g234-9h86-35f3-5hgf514ii0k6","conversationalconnect_support","outbound","46769436527","46760061600","DE","Germany","whatsapp","","","","utility","h095ihg2h689e49f7g9h311ig6f66ee2","2025-10-31T11:30:01+00:00","2025-10-31T11:30:04+00:00","3200","delivered","","EUR","0.0300","0.0400","","","","f678j901-g234-9h86-35f3-5hgf514ii0k6"
"76ea2717","g789k012-h345-0i97-46g4-6ihg625jj1l7","conversationalconnect_support","outbound","46769436527","46760061601","DE","Germany","whatsapp","","","","utility","h095ihg2h689e49f7g9h311ig6f66ee2","2025-10-31T12:45:01+00:00","2025-10-31T12:45:03+00:00","2800","rejected","","EUR","0","0","","","","g789k012-h345-0i97-46g4-6ihg625jj1l7"
"76ea2717","h890l123-i456-1j08-57h5-7jih736kk2m8","conversationalconnect_livechat","outbound","46769436527","46760061602","FR","France","whatsapp","","","","marketing","i106jih3i790f50g8h0i422jh7g77ff3","2025-11-01T08:00:01+00:00","2025-11-01T08:00:05+00:00","4100","delivered","","EUR","0.0500","0.0665","","","","h890l123-i456-1j08-57h5-7jih736kk2m8"
"76ea2717","i901m234-j567-2k19-68i6-8kji847ll3n9","conversationalconnect_livechat","outbound","46769436527","46760061603","FR","France","whatsapp","","","","marketing","i106jih3i790f50g8h0i422jh7g77ff3","2025-11-01T09:30:01+00:00","2025-11-01T09:30:04+00:00","3600","submitted","","EUR","0.0500","0.0665","","","","i901m234-j567-2k19-68i6-8kji847ll3n9"
"76ea2717","j012n345-k678-3l20-79j7-9lkj958mm4o0","conversationalconnect_support","outbound","46769436527","46760061604","FR","France","sms","","","","utility","j217kjh4j801g61h9i1j533ki8h88gg4","2025-11-01T10:45:01+00:00","2025-11-01T10:45:02+00:00","1500","delivered","","EUR","0.0150","0.0200","","","","j012n345-k678-3l20-79j7-9lkj958mm4o0"
"76ea2717","k123o456-l789-4m31-80k8-0mlk069nn5p1","conversationalconnect_support","outbound","46769436527","46760061605","FR","France","sms","","","","utility","j217kjh4j801g61h9i1j533ki8h88gg4","2025-11-01T11:00:01+00:00","2025-11-01T11:00:02+00:00","1200","delivered","","EUR","0.0150","0.0200","","","","k123o456-l789-4m31-80k8-0mlk069nn5p1"
